19938|Dalhousie Castle|55.861751|-3.081029|7013|
37027|Dalhousie Mains|55.873935|-3.079961||
1101|Dalkeith|55.8943342|-3.0713975||
13445|Dalkeith House|55.8993743|-3.0679||
7130|Dalkeith Road|55.9391|-3.1749||
12284|Dalkeith Road|55.9339|-3.1669|7130|
35604|Dalkeith Road|55.9347|-3.1681|7130|
2246|Dalmeny|55.9820556|-3.3744684||
13447|Dalmeny House|55.987934|-3.3351956||
38116|Dalmeny Park|55.9974045|-3.3555944||
35377|Dalry|55.940921|-3.2243207||
35122|Dalry Road|55.9427|-3.2213||
12506|Damhead|55.8771273|-3.1946047||
527|Danube Street|55.9568|-3.212||
14932|Darnaway Street|55.9546|-3.2067||
3730|David's Tower|55.948309|-3.199216||
8588|Davidson's Mains|55.9659948|-3.2789422||
24078|Davie Street|55.9453|-3.1831||
35745|De Niro|55.9768212|-3.1696962||
35854|Deacon Brodie's Tavern|55.9495501|-3.1929479||
254|Dean Cemetery|55.950909|-3.222725||
26275|Dean Gardens|55.954213|-3.212948||
38153|Dean Park Crescent|55.9555|-3.2168||
17976|Dean Street|55.9581|-3.2122||
24075|Dean Terrace|55.9571|-3.2101||
24072|Deanhaugh Street|55.9583|-3.2094||
1137|Dechmont|55.920625|-3.540907||
34837|Devil's Advocate|55.9503667|-3.1916879||
8737|Dick Place|55.9338|-3.1863||
13674|Dickson's Close|55.949259|-3.18653||
20366|Dining Hall|55.928262|-3.200392||
30464|Dirleton Castle|56.046077|-2.780845||
7883|District Court|55.977598|-3.600659||
27368|Dock Street|55.9767|-3.1742||
7526|Dominican Convent|55.937316|-3.185685||
8544|Dominican Monastery|55.975533|-3.603987||
35802|Dominion Cinema|55.930791|-3.208933||
19596|Doon Hill|55.971622|-2.508827||
14469|DouglCrescent|55.949515|-3.221929||
7204|DouglHotel|55.954635|-3.191852||
3715|DouglHouse|55.951187|-3.220957||
17900|Doune Terrace|55.9562|-3.2086||
35768|Doune Terrace|55.9561|-3.2087|17900|
13202|Dowie's Tavern|55.948661|-3.192597||
6956|Dreadnought Hotel|55.900528|-3.642668||
12069|Dreghorn|55.894086|-3.232499||
21514|Dreghorn|55.896012|-3.237565|12069|
15596|Dreghorn Castle|55.900021|-3.244554||
33301|Dreghorn Castle|55.904739|-3.240035||
13901|Drem|56.005296|-2.786212||
17130|Drem|56.007433|-2.780738|13901|
35682|Drouthy Neebors|55.9391104|-3.1816846||
7907|Drummond Place|55.9582|-3.195||
